OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
67,Ashbury,6,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,145.9928057440396,132.18217152562636,115.62038895179485,142.59171637173355,175.00105653960128,126.61801357926994,169.19204711914063,121.14101541453394
68,Ashbury,8,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,141.69271779614826,131.719268089117,114.09393115376317,140.7731106780296,172.8187131659929,124.90842579686364,166.94857468715935,119.56627424373183
69,Ashbury,9,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,149.61968236462823,132.25258283943967,116.60218774203597,143.73325700431033,176.4065426530509,127.70489333580281,170.60230302481816,122.12437144312365
70,Ashbury,10,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,151.24881030667214,132.32681323635964,116.82193263884514,143.97951975176412,176.710208031439,127.94954853673136,170.91507794780117,122.34240894932901
71,Ashford,4,0,592.263,0,83.463,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1546.00262451,85.718764,170.2590256,Urban,U,1,W,111.65902862548828,136.0089820014106,102.28507470024957,124.37592213948568,155.40875854492188,110.69944135877822,147.66082797580296,105.83654530843098
72,Ashford Plantation,11,0,2336.903,0,8.66,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1347.33941786,80.7759421,162.9273409,Rural,R,0,E,119.52159901154347,125.37135099753355,116.55561652550331,144.97993977864584,177.06233997834033,127.87086506378957,171.39696639623398,122.78945512038011
73,Ashton Hall,3,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,146.62062242296008,126.62222290039062,112.07419564988878,138.47619162665472,171.21109305487738,123.08314895629883,164.46291224161783,118.27392662896051
74,Ashton Hall,4,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,150.02786652029377,126.11219338194965,111.85384306189133,138.21931290299926,170.87777647253586,122.84372878401247,164.13324518073094,118.02467273032829
75,Ashton Hall,6,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,148.5482062624212,126.12553017599541,111.62290579812569,137.9600077846594,170.57631161338404,122.58057363409745,163.78568816603277,117.77788503546464
76,Ashton Hall,7,38,1880.327,0.02,77.821,7.418,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1545.72594946,80.7650147,168.7366571,Urban,U,1,N,151.7803226047092,126.41828918457031,113.02808719211154,139.77924092610678,172.7237514919705,124.17825147840712,165.89595709906683,119.29471842447917
