OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
1044,Frizers,3,12,1538.978,0.008,141.142,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1569.02975517,86.5917235,169.8854742,Rural,R,0,E,140.38819538463247,127.58123900673606,112.19154600663619,138.5253212668679,170.88643472844905,122.44003920121627,163.9333856756037,117.37452246926047
1045,Fruitful Hill,3,7,4.03,1.737,98.619,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1586.29919434,87.3064689,170.962702,Rural,R,0,E,149.87472534179687,132.0098876953125,108.22869873046875,133.06920623779297,165.03453826904297,117.73731994628906,157.6748275756836,112.96442031860352
1046,Fruitful Hill,4,7,4.03,1.737,98.619,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1586.29919434,87.3064689,170.962702,Rural,R,0,E,149.87472534179687,132.0098876953125,108.18240356445312,133.0033721923828,164.9613800048828,117.68102264404297,157.58749389648437,112.89977264404297
1047,Fryer Well Road,3,0,288.915,0,62.105,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.87460327,76.9808674,166.0163422,Urban,U,1,N,145.74140993754068,120.86956151326497,106.49190616607666,131.25952212015787,162.41875330607095,116.80748812357585,156.08135668436685,112.12739149729411
1048,Fryer Well Road,6,0,288.915,0,62.105,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.87460327,76.9808674,166.0163422,Urban,U,1,N,144.90488676591352,120.6760803569447,106.67386540499601,131.47546525435015,162.67493854869497,117.01270918412642,156.35330997813833,112.32440896467729
1049,Fustic Village,4,3,946.166,0.003,43.057,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1491.09100342,76.9406567,165.9697952,Urban,U,1,N,149.87652976296164,121.45939899791371,106.33836198286576,131.0975028298118,162.23709550337358,116.63421797318892,155.85524153275924,111.96575206409801
1050,G.I. School,3,0,348.154,0,58.416,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1345.58960368,71.402317,154.6184387,Rural,R,0,S,115.13116177645597,112.73062133789062,104.60749608820134,130.33383317427203,159.0938457142223,114.66224184903231,154.2148701060902,110.6138021295721
1051,G.I. School,4,0,348.154,0,58.416,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1345.58960368,71.402317,154.6184387,Rural,R,0,S,116.25648888876272,112.97344527133676,104.01738277701445,129.5269970561183,158.1567145059275,114.02514488752499,153.32679606592933,109.98908499784248
1052,Gaggs Hill,3,0,264.821,0,78.166,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1537.44934082,84.7796402,168.1328201,Urban,U,1,E,120.85072361339222,125.78579850630327,114.53984728726473,141.8228197964755,174.47417519309303,125.21129573475231,167.65559109774503,120.02950078790838
1053,Gall Hill,3,5,215.899,0.023,-17.853,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1357.95336914,75.7162005,160.1383413,Urban,U,1,S,117.04678315382738,119.48347561176007,84.22172927856445,103.24181395310622,127.48553408109225,91.58998577411359,122.84847112802359,88.0110200735239
1054,Gall Hill,4,5,215.899,0.023,-17.853,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1357.95336914,75.7162005,160.1383413,Urban,U,1,S,116.52787372364718,119.5242254818187,84.02938236909755,102.98048373951632,127.1950252308565,91.36356816011316,122.5258139217601,87.77849471148322
1055,Gall Hill,6,5,215.899,0.023,-17.853,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1357.95336914,75.7162005,160.1383413,Urban,U,1,S,116.96855163574219,119.98543548583984,84.27027348109654,103.24332536969867,127.52972957066127,91.63456617082868,122.8668441772461,88.023162841796875
1056,Gall Hill,12,5,215.899,0.023,-17.853,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1357.95336914,75.7162005,160.1383413,Urban,U,1,S,116.91971775270858,119.62248028449292,84.20274640929024,103.20145027592497,127.45273359766546,91.56416666282797,122.79909846467793,87.97516200227558
1057,Gall Hill East,3,12,805.568,0.015,-5.602,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1396.68191162,79.780141,162.5765082,Urban,U,1,E,117.8608971673089,128.2126860747466,117.36138214936128,146.11224241514464,178.5292387266417,128.74448415395375,172.54690015638198,123.57173321698163
1058,Gall Hill East,4,12,805.568,0.015,-5.602,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1396.68191162,79.780141,162.5765082,Urban,U,1,E,117.25046665412336,127.12778132415015,117.32687277045132,146.0526884725271,178.46472079694763,128.70361094829465,172.49243706316986,123.53224491087859
1059,Gall Hill East,8,12,805.568,0.015,-5.602,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1396.68191162,79.780141,162.5765082,Urban,U,1,E,120.15453879038493,129.13481839497885,118.42054684956868,147.36295445760092,180.07476933797201,129.92571640014648,174.05780474344888,124.63516743977864
1060,Garden Land,3,0,305.145,0,52.399,7.287,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1475.13598972,78.4123715,165.5005099,Urban,U,1,W,142.4298341812626,120.28641657675466,88.83732161983367,108.08640584638042,134.1868153233682,96.28287826045867,128.41690752583165,92.02640188893965
1061,Garden Land,4,0,305.145,0,52.399,7.287,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1475.13598972,78.4123715,165.5005099,Urban,U,1,W,140.2467269897461,119.92859286353702,89.69726226443336,109.42570513770694,135.7934728349958,97.23092823936825,129.6812397184826,92.93950117202033
1062,Garden Land,6,0,305.145,0,52.399,7.287,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1475.13598972,78.4123715,165.5005099,Urban,U,1,W,140.48515597256747,120.04968539151278,87.02400207519531,105.49653764204545,131.09920154918325,94.22114354913884,125.66760392622514,90.03783069957386
1063,Garden Land,12,0,305.145,0,52.399,7.287,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1475.13598972,78.4123715,165.5005099,Urban,U,1,W,142.03707885742187,120.30757904052734,86.55632019042969,104.59754180908203,130.02186584472656,93.7075424194336,124.98352813720703,89.54386138916016
1064,Garden Land,14,0,305.145,0,52.399,7.287,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1475.13598972,78.4123715,165.5005099,Urban,U,1,W,141.42888336181642,120.21022567749023,86.69884948730468,104.89775695800782,130.38221588134766,93.86223220825195,125.18930053710937,89.6923614501953
1065,Gaskin Land,3,0,113.298,0,47.629,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1333.65509395,71.4273721,154.5534818,Rural,R,0,S,118.20556640625,112.3978385925293,105.63320732116699,131.70029067993164,160.71748733520508,115.7744140625,155.73628997802734,111.68068313598633
1066,Gay's Village,3,0,78.329,0,39.038,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1464.32389323,74.1451861,161.5506935,Urban,U,1,N,103.57599229079027,124.78536341740535,99.59253281813402,121.72827852689304,151.6256138728215,108.18614255464993,144.9337134728065,104.33926274226262
1067,Gay's Village,4,0,78.329,0,39.038,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1464.32389323,74.1451861,161.5506935,Urban,U,1,N,103.46111379770132,124.87024630033054,99.68197584885817,121.8471674992488,151.7656489445613,108.29003331111028,145.07203369140626,104.43797713059645
1068,Gemswick,4,12,4251.682,0.003,-21.246,1.611,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1357.54916382,67.2948259,150.6411078,Urban,U,1,S,102.24357617802981,108.16206212404396,91.10387548879415,113.62404267126773,138.75118595411797,99.57990072554901,134.44242756306625,96.436783862715
1069,Gemswick,7,12,4251.682,0.003,-21.246,1.611,Shallow Soils,H,2,1970-1996,B,2,D,D,3,I,1357.54916382,67.2948259,150.6411078,Urban,U,1,S,104.10615435513583,108.9229587208141,90.97508378462358,113.3593319979581,138.48692668568003,99.44084618308328,134.21082167191938,96.26846903020686
1070,Gibbons,3,8,140.749,0.057,-23.742,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1339.00744906,71.9504603,156.6791075,Urban,U,1,S,115.34950741854581,116.82829770174894,84.1155118075284,103.48121330954812,127.48031130704013,91.52965060147372,123.03819587013938,88.16191864013672
1071,Gibbons,4,8,140.749,0.057,-23.742,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1339.00744906,71.9504603,156.6791075,Urban,U,1,S,113.94624976392062,116.45415115356445,84.2357467435441,103.67424187570248,127.67901812859301,91.67231786475992,123.25685033258402,88.32127193235002
1072,Gibbons,6,8,140.749,0.057,-23.742,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1339.00744906,71.9504603,156.6791075,Urban,U,1,S,112.79157298694957,116.2106875332919,84.43847489790483,103.97775324041193,128.0074544733221,91.9100121238015,123.60476240678267,88.57403647682884
1073,Gibbons,16,8,140.749,0.057,-23.742,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1339.00744906,71.9504603,156.6791075,Urban,U,1,S,114.653696233576,116.40752318411162,84.00227910822088,103.35668899073745,127.31236336447976,91.40364375258937,122.88609498919863,88.053942824855
1074,Gibbons Boggs,4,1,15.617,0.064,20.998,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1347.95323526,73.030364,157.9332113,Urban,U,1,S,111.93938753897683,116.58264990020217,83.47242810433372,102.62873204549153,126.47996019062244,90.78913906164337,122.02753026861893,87.43486705579255
1075,Gibbons Boggs,6,1,15.617,0.064,20.998,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1347.95323526,73.030364,157.9332113,Urban,U,1,S,113.26197814941406,115.88884735107422,83.62191009521484,102.88690948486328,126.73726654052734,90.97132110595703,122.31954193115234,87.64790344238281
1076,Gibbs,3,1,189.834,0.005,46.502,26.661,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1538.0066664,81.7750295,169.9705203,Urban,U,1,N,141.2497727243524,125.95581576698704,127.29067029451069,157.7130496376439,193.96773729826273,140.033252916838,187.07613814504523,134.49587771767065
1077,Gibbs,4,1,189.834,0.005,46.502,26.661,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1538.0066664,81.7750295,169.9705203,Urban,U,1,N,141.31967494798744,125.9051669024039,127.15243668487106,157.55969669507897,193.78611666914347,139.88040548131085,186.8708527053612,134.34875698366028
1078,Gibbs,6,1,189.834,0.005,46.502,26.661,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1538.0066664,81.7750295,169.9705203,Urban,U,1,N,139.52804459465875,124.7336294386122,128.8533501095242,159.38442844814725,195.92974620395236,141.74112764994302,189.34966595967612,136.1185253991021
1079,Gibbs,8,1,189.834,0.005,46.502,26.661,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1538.0066664,81.7750295,169.9705203,Urban,U,1,N,146.3952099609375,125.33020568847657,125.08249694824218,154.79803039550782,190.50177978515626,137.58266967773437,183.7845458984375,132.13143829345702
1080,Gibbs,12,1,189.834,0.005,46.502,26.661,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1538.0066664,81.7750295,169.9705203,Urban,U,1,N,140.28254296313756,125.78420139181203,127.39327590766995,157.84809244090113,194.12640223009834,140.14360712862563,187.2226167876145,134.5998060730682
1081,Gilkes,6,0,698.434,0,79.727,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1424.10595703,73.4714127,162.4514771,Rural,R,0,N,132.35809738571578,119.03346355541332,99.4842339593011,122.06157911146009,151.4380464296083,108.81226142677102,145.53316972062393,104.49233307709565
1082,Glebe,4,11,7.22,1.524,-7.499,0,Scotland District Soils,O,6,1970-1996,B,2,D,D,3,I,1387.05981445,79.4677244,162.2851451,Urban,U,1,E,115.86661529541016,126.9291000366211,116.59147644042969,145.17657470703125,177.3787078857422,127.88554382324219,171.4470977783203,122.79656982421875
1083,Glenburne,10,36,807.901,0.045,77.596,0,Scotland District Soils,O,6,1990-Present,A,1,P,P,1,P,1497.7565918,81.3681399,164.9779536,Rural,R,0,E,101.39794437305348,122.07387738614469,116.9212626895389,145.02704022381758,177.68255780194258,128.1061632311022,171.62102838464685,122.87964475477064
1084,Glendolough Road,3,0,387.897,0,20.38,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1414.44898817,71.5783751,159.7800683,Rural,R,0,N,111.36124000549316,118.5790412902832,97.18562774658203,119.1523826599121,148.24433937072754,105.8204132080078,141.66853675842285,101.8514949798584
1085,Glendolough Road,8,0,387.897,0,20.38,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1414.44898817,71.5783751,159.7800683,Rural,R,0,N,111.86397889283326,118.59938619802664,97.21791853346267,119.20216149682398,148.30105920740075,105.86279805501302,141.7226459400074,101.88854224402625
1086,Golden Grove Plantation,3,0,1224.094,0,62.771,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1364.0837985,70.4551655,153.6015764,Rural,R,0,S,131.6637633080576,112.51070793002259,105.96960269703584,132.17586322859222,161.31803564931832,116.10878499348958,156.21981422573913,112.00486994724648
1087,Golden Grove Plantation,8,0,1224.094,0,62.771,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1364.0837985,70.4551655,153.6015764,Rural,R,0,S,130.8620147705078,112.26551055908203,105.44522476196289,131.53665924072266,160.5502700805664,115.51498413085937,155.45391845703125,111.45499801635742
1088,Golden Grove Plantation,10,0,1224.094,0,62.771,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1364.0837985,70.4551655,153.6015764,Rural,R,0,S,131.4408721923828,112.43984436035156,105.83467254638671,132.01154622395833,161.12177408854166,115.95524444580079,156.02222208658853,111.86276641845703
1089,Golden Mile,4,0,849.781,0,42.646,1.943,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1542.2598114,81.0323734,168.9479504,Urban,U,1,N,153.96348173721978,125.73851510752802,115.27817203687584,142.58654453443444,176.0331520412279,126.70170327891474,169.24608645231828,121.69504912003227
1090,Golden Mile,6,0,849.781,0,42.646,1.943,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1542.2598114,81.0323734,168.9479504,Urban,U,1,N,155.3822250366211,125.1113052368164,115.27255249023437,142.48133850097656,175.8917999267578,126.68951416015625,169.2279815673828,121.67304229736328
1091,Golden Ridge Plantation,8,0,1072.144,0,3.603,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1524.05890571,88.3678686,170.4613304,Rural,R,0,E,143.34500806084995,133.93044044231547,109.74239244132207,134.85551820952315,166.29703600653286,119.82767328722724,159.99333927549165,114.58987768765154
1092,Golden Ridge Plantation,10,0,1072.144,0,3.603,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1524.05890571,88.3678686,170.4613304,Rural,R,0,E,142.66319783528647,133.94115897936697,109.48153569148137,134.51695642715845,165.9106245774489,119.52959774702023,159.59188881898538,114.30577146089993
1093,Golden Ridge Village,4,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,149.861835826527,133.49621304598722,112.58990547873758,138.51079628684303,170.49531693892047,123.07524733109908,164.35286782004616,117.67418393221769
1094,Golden Ridge Village,6,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,149.57661056518555,133.54691314697266,111.83467864990234,137.55310440063477,169.3900032043457,122.21500205993652,163.20181274414062,116.85982894897461
1095,Golden Ridge Village,8,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,148.38138389587402,133.71264934539795,112.07178115844727,137.83765983581543,169.70331382751465,122.49257755279541,163.57967376708984,117.13052558898926
1096,Golden Ridge Village,9,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,149.0187788743239,133.63001133845404,112.0939442561223,137.87926913530399,169.7614748050005,122.51280163495969,163.602538279998,117.14444810916216
1097,Golden Ridge Village,10,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,148.5166208744049,133.6914029121399,112.15257441997528,137.9484281539917,169.83847069740295,122.58103358745575,163.69504499435425,117.21054530143738
1098,Golden Ridge Village,12,0,112.172,0,-2.155,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1525.64685059,88.5455418,170.3916016,Urban,U,1,E,149.94272804260254,133.4815845489502,111.96845245361328,137.70894622802734,169.58663940429688,122.35926055908203,163.38771057128906,116.98770904541016
1099,Golf Club,3,0,356.297,0,45.592,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1437.82689525,78.8441026,163.954808,Urban,U,1,S,134.7469253540039,120.83004760742187,80.0263671875,97.2289810180664,120.90553665161133,86.52754211425781,115.5983772277832,82.76795959472656
1100,Golf Club,4,0,356.297,0,45.592,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1437.82689525,78.8441026,163.954808,Urban,U,1,S,131.71101696460278,120.36530888545049,80.67061991505808,97.86029072550984,121.56721491627879,87.31443667721439,116.71732563167423,83.57940530157708
1101,Golf Club,6,0,356.297,0,45.592,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1437.82689525,78.8441026,163.954808,Urban,U,1,S,130.8685818142361,120.23616010877821,80.69487592909071,97.88810475667317,121.58629048665365,87.34876505533855,116.77444593641493,83.62119089762369
1102,Good Intent,3,2,656.367,0.003,45.852,0.649,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1513.62554107,86.3160211,168.0891588,Urban,U,1,S,132.60414123535156,128.19091796875,104.89095497131348,129.3100210825602,159.01770146687826,114.78504467010498,153.50874964396158,110.09378878275554
1103,Good Intent,4,2,656.367,0.003,45.852,0.649,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1513.62554107,86.3160211,168.0891588,Urban,U,1,S,132.22417579506927,128.47566798947892,104.78475477110665,129.13793110397626,158.84947348540683,114.65779272115455,153.31588802697524,109.95457184989498
1104,Good Intent,10,2,656.367,0.003,45.852,0.649,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1513.62554107,86.3160211,168.0891588,Urban,U,1,S,132.2045392233228,128.43915206666978,104.88403925820002,129.2677031017485,159.00337824745785,114.76708693731399,153.46413942367312,110.06080675882006
1105,Goodland,3,3,238.647,0.013,42.948,2.87,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.66617839,75.9714266,164.931572,Urban,U,1,W,131.168750963713,118.50186839856599,101.76600807591488,124.66811290540193,154.02602908485815,110.79063937538548,147.78842644942435,106.02934827302632
1106,Goodland,4,3,238.647,0.013,42.948,2.87,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.66617839,75.9714266,164.931572,Urban,U,1,W,130.45067093361934,118.34874442154664,101.11237974874838,123.87326249701488,153.07673998170546,110.04682389305148,146.79614291128632,105.31178203732686
1107,Goodland,18,3,238.647,0.013,42.948,2.87,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.66617839,75.9714266,164.931572,Urban,U,1,W,130.51595306396484,118.36572265625,101.647705078125,124.50202941894531,153.829345703125,110.648681640625,147.5999755859375,105.89282989501953
1108,Goodland South,3,4,283.443,0.014,38.859,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1348.66713867,72.33335,157.3065098,Urban,U,1,S,112.52313626197076,115.61983416157383,82.33988140475365,101.34018092001638,124.81666097333354,89.51572885820943,120.43092272358555,86.2951143326298
1109,Goodland South,4,4,283.443,0.014,38.859,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1348.66713867,72.33335,157.3065098,Urban,U,1,S,112.57999775822002,115.67177231867511,82.28927658195782,101.25523812430245,124.72662485452523,89.4555308980153,120.34049213380742,86.22927844972538
1110,Goodland South,6,4,283.443,0.014,38.859,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1348.66713867,72.33335,157.3065098,Urban,U,1,S,112.20894509774668,115.58717770046658,82.57336086697049,101.62673950195312,125.17504430700231,89.78074956823278,120.77294808846933,86.53993592438874
1111,Goodland South,10,4,283.443,0.014,38.859,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1348.66713867,72.33335,157.3065098,Urban,U,1,S,111.92657012939453,115.52703145345052,82.74983774820963,101.85018412272136,125.44373881022135,89.98258056640626,121.04171091715494,86.73300323486328
1112,Government Hill,3,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,152.93579678922086,123.69374703072212,86.74768932445629,105.69408911627693,131.2060724206873,94.09036069302945,125.53625075881546,89.9504912092879
1113,Government Hill,4,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,150.11641468721277,123.02274080164293,86.83583176556756,105.59699419806985,131.1176560345818,94.16150737089269,125.61933925853056,90.00970010196461
1114,Government Hill,6,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,152.8829266583478,123.63482920328777,86.57788792362919,105.435343141909,130.9069869429977,93.88736046685113,125.26107872856988,89.75116503680194
1115,Government Hill,7,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,154.2230224609375,123.89650268554688,87.38948211669921,106.69015045166016,132.37193908691407,94.84371643066406,126.55034484863282,90.68486175537109
1116,Government Hill,9,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,153.83415730794272,123.89906565348308,87.6885445912679,107.02879524230957,132.77544784545898,95.1856238047282,127.00671513875325,91.01504007975261
1117,Government Hill,10,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,150.4321649724787,123.10392345081677,86.42016116055575,105.0506258877841,130.46180655739525,93.69276879050516,124.99654180353338,89.55926409634677
1118,Government Hill,12,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,151.46216903194303,123.4630112186555,86.54784516365298,105.33769742904171,130.7942883891444,93.84950502457157,125.20915738997921,89.71353321690714
1119,Government Hill,14,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,149.61498353539443,123.00709180134099,86.21774738590892,104.7259067442359,130.0815578553735,93.45536078476324,124.67697962318978,89.3278950016673
1120,Government Hill,15,0,165.673,0,13.098,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1489.43719013,80.6274666,166.243585,Urban,U,1,W,150.73575134277343,123.44535217285156,86.04048156738281,104.63304290771484,129.95313415527343,93.27240447998047,124.44069976806641,89.15759582519532
1121,Graeme Hall,4,18,4274.053,0.004,87.907,5.683,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1437.41484133,78.4430247,163.2038994,Urban,U,1,S,126.04925509148244,121.04554073473545,82.56015917393549,100.61712538634295,124.68546942266494,89.56938554853669,119.85475969564229,85.8478423513043
1122,Graeme Hall,6,18,4274.053,0.004,87.907,5.683,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1437.41484133,78.4430247,163.2038994,Urban,U,1,S,125.80640093028117,121.02907710452732,82.55470929042899,100.61938921153117,124.68542529867707,89.56450148109052,119.85040222826622,85.84472003086007
1123,Graeme Hall,12,18,4274.053,0.004,87.907,5.683,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1437.41484133,78.4430247,163.2038994,Urban,U,1,S,123.45081925392151,119.89784324169159,81.67550587654114,99.51626014709473,123.35028827190399,88.55852270126343,118.5267802476883,84.89043128490448
1124,Grand View,3,5,332.807,0.015,-11.134,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1488.58995419,80.5353281,169.3284084,Urban,U,1,W,108.33296417236328,127.77649963378906,121.6657339477539,149.67719299316406,184.5818328857422,132.99065856933595,177.46439636230468,127.43128814697266
1125,Grand View,4,5,332.807,0.015,-11.134,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1488.58995419,80.5353281,169.3284084,Urban,U,1,W,110.61854977077908,126.686036851671,122.97085740831163,151.31785244411893,186.46678670247397,134.47975158691406,179.45499674479166,128.87401496039496
1126,Grand View,6,5,332.807,0.015,-11.134,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1488.58995419,80.5353281,169.3284084,Urban,U,1,W,108.2703914642334,127.86160405476888,119.5548734664917,146.9441115061442,181.36242230733237,130.61523310343424,174.2787062327067,125.12896505991618
1127,Grand View Heights,3,0,237.613,0,-6.103,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1478.83025251,78.7710026,168.5441873,Urban,U,1,W,107.15486907958984,126.05777931213379,125.04462814331055,153.97504043579102,189.61718368530273,136.80249404907227,182.5731544494629,131.12517166137695
1128,Grand View Heights,4,0,237.613,0,-6.103,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1478.83025251,78.7710026,168.5441873,Urban,U,1,W,112.47400016784668,125.25513153076172,124.64620628356934,153.4117530822754,188.87366790771483,136.38265991210937,181.9996322631836,130.7177391052246
1129,Grand View Heights,12,0,237.613,0,-6.103,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1478.83025251,78.7710026,168.5441873,Urban,U,1,W,110.58749171665737,124.55599103655133,126.46092224121094,155.7176753452846,191.6030752999442,138.41156005859375,184.72117614746094,132.6829071044922
1130,Grantley Adams Airport,3,0,853.222,0,-49.826,14.409,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1350.42109563,69.1907586,153.2550767,Rural,R,0,S,110.45787665957496,115.15745290120442,85.49338604155041,105.61405472528367,129.79177057175409,93.14197867257255,125.40422675723121,89.88049679710751
1131,Grantley Adams Airport,4,0,853.222,0,-49.826,14.409,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1350.42109563,69.1907586,153.2550767,Rural,R,0,S,108.35431411665708,112.18633401938501,87.41535984562134,108.46657194340895,132.8660685737726,95.38314571477434,128.64368713688728,92.24347183304995
1132,Grantley Adams Airport,6,0,853.222,0,-49.826,14.409,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1350.42109563,69.1907586,153.2550767,Rural,R,0,S,107.39179929097493,111.41640917460124,87.36704063415527,108.5189790725708,132.80421193440756,95.34540748596191,128.68616422017416,92.28684584299724
1133,Grantley Adams Airport,7,0,853.222,0,-49.826,14.409,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1350.42109563,69.1907586,153.2550767,Rural,R,0,S,105.76377388283059,109.4746629220468,90.02066732335973,112.1194576687283,137.02180113615813,98.36486138237848,132.7700941297743,95.2327476784035
